id,category,image_context,prompt
39,Home/DIY,photo of a disorganized bookshelf filled with old books,Look at this messy bookshelf. What tools would I likely need to fix or restore it?
40,Culinary/Food,photo of a flaky croissant on a bakery shelf,Write a mouth-watering instagram caption for this photo of croissant.
41,Culinary/Food,photo of a grilled salmon fillet with asparagus,I have these ingredients shown in the grilled salmon image. What spice should I add to elevate the flavor?
42,Nature/Biology,photo of a blooming yellow rose in a garden,Identify this garden flower. Is it poisonous or dangerous? Provide a scientific classification.
43,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,Write a mouth-watering instagram caption for this photo of ramen bowl.
44,OCR/Extraction,photo of a sticky note with a to-do list in cursive ink,Extract the text from this handwritten note and return it as {output_format}.
45,Education,diagram of the planets orbiting the sun,Create a quiz question based on the information in this solar system model.
46,Creative Writing,photo of a green fern plant,Describe this fern using only metaphors and similes.
47,Home/DIY,photo of a handmade blue ceramic vase,Identify the style of this ceramic vase. Suggest a color palette for a room that features this piece.
48,Coding,screenshot of a music player UI with album art and controls,Identify the UI components in this music player and list them as a JSON array for a design system.
49,Creative Writing,photo of Machu Picchu ruins in the Andes,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Machu Picchu.
50,Culinary/Food,photo of three street tacos with salsa and lime,I have these ingredients shown in the tacos image. What spice should I add to elevate the flavor?
51,Home/DIY,photo of a wooden mid-century modern chair,How would you clean this mid-century chair without damaging the material?
52,Travel/Landmarks,photo of Machu Picchu ruins in the Andes,What is the best time of year to visit Machu Picchu to take a photo like this?
53,OCR/Extraction,photo of a concert ticket with QR code,Extract the text from this event ticket and return it as {output_format}.
54,Education,visual chart showing fraction equivalents,Act as a tutor. Explain the concept shown in this fraction chart to a history buff.
55,Travel/Landmarks,photo of the Sydney Opera House at night,What is the best time of year to visit Sydney Opera House to take a photo like this?
56,Coding,screenshot of a user profile card with avatar and bio,Identify the UI components in this profile card and list them as a JSON array for a design system.
57,Nature/Biology,night sky photo showing the Orion constellation,Identify this constellation. Is it poisonous or dangerous? Provide a scientific classification.
58,Creative Writing,photo of a blooming yellow rose in a garden,Describe this garden flower using only metaphors and similes.
59,Home/DIY,photo of a white shaker-style kitchen cabinet,How would you clean this kitchen cabinet without damaging the material?
60,Education,labeled diagram of an animal cell,Act as a tutor. Explain the concept shown in this cell structure to a senior citizen.
61,Travel/Landmarks,photo of Mount Fuji with snow cap,What is the best time of year to visit Mount Fuji to take a photo like this?
62,OCR/Extraction,image of a professional resume/CV,Find the date and total amount in this resume. Return only these two values.
63,Education,"illustrated diagram showing evaporation, condensation, and precipitation",Create a quiz question based on the information in this water cycle diagram.
64,Coding,screenshot of a music player UI with album art and controls,Identify the UI components in this music player and list them as a JSON array for a design system.
65,Culinary/Food,photo of a slice of rich chocolate cake on a white plate,I have these ingredients shown in the chocolate cake image. What spice should I add to elevate the flavor?
66,Fashion/Style,close-up photo of a luxury mechanical wristwatch,Identify the style and era of this wristwatch. Where could I buy something similar today?
67,Coding,screenshot of a responsive top navigation bar with dropdown menus,Act as a frontend developer. Convert this navbar screenshot into production-ready {tech_stack}.
68,Creative Writing,photo of Machu Picchu ruins in the Andes,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Machu Picchu.
69,Fashion/Style,close-up photo of a luxury mechanical wristwatch,Identify the style and era of this wristwatch. Where could I buy something similar today?
70,Travel/Landmarks,photo of white houses with blue domes in Santorini,Translate the signage visible in this photo of Santorini into Chinese and explain the cultural context.
71,Coding,screenshot of a weather widget showing temperature and forecast,Identify the UI components in this weather widget and list them as a JSON array for a design system.
72,Home/DIY,photo of a cracked window pane,How would you clean this broken window without damaging the material?
73,Culinary/Food,photo of a classic pizza margherita with basil,Identify the dish in this image of pizza margherita. Estimate the calories and suggest a {dietary_restriction} alternative.
74,Data Analysis,image of a spider/radar chart comparing skill sets,Convert the data shown in this radar chart into a CSV format.
75,Fashion/Style,photo of a stylish felt fedora hat,Act as a stylist. Look at this fedora hat. What accessories would you pair with this for a formal event?
76,Education,diagram of the planets orbiting the sun,Create a quiz question based on the information in this solar system model.
77,Travel/Landmarks,photo of the Taj Mahal reflecting in the pool,Translate the signage visible in this photo of Taj Mahal into Italian and explain the cultural context.
78,Home/DIY,photo of various blue paint swatches on a wall,Identify the style of this wall paint swatches. Suggest a color palette for a room that features this piece.
79,Creative Writing,photo of a blue jay perched on a tree branch,Describe this bird using only metaphors and similes.
80,Fashion/Style,photo of a stylish felt fedora hat,Is this fedora hat appropriate for a business casual office environment?
81,Education,"illustrated diagram showing evaporation, condensation, and precipitation",Act as a tutor. Explain the concept shown in this water cycle diagram to a 5-year-old.
82,Coding,screenshot of a weather widget showing temperature and forecast,Identify the UI components in this weather widget and list them as a JSON array for a design system.
83,Education,map showing earth's tectonic plates,Create a quiz question based on the information in this tectonic plates.
84,Travel/Landmarks,photo of the Colosseum in Rome,What is the best time of year to visit Colosseum to take a photo like this?
85,Home/DIY,photo of hardwood flooring with a scratch,Identify the style of this wooden floor. Suggest a color palette for a room that features this piece.
86,Data Analysis,image of a color-coded correlation matrix heatmap,Convert the data shown in this heatmap into a CSV format.
87,Travel/Landmarks,photo of the Colosseum in Rome,What is the best time of year to visit Colosseum to take a photo like this?
88,Home/DIY,photo of a cracked window pane,Look at this broken window. What tools would I likely need to fix or restore it?
89,Travel/Landmarks,photo of the Colosseum in Rome,Translate the signage visible in this photo of Colosseum into German and explain the cultural context.
90,Education,visual chart showing fraction equivalents,Act as a tutor. Explain the concept shown in this fraction chart to a senior citizen.
91,Home/DIY,photo of a disorganized bookshelf filled with old books,How would you clean this messy bookshelf without damaging the material?
92,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,I have these ingredients shown in the vegetable stir-fry image. What spice should I add to elevate the flavor?
93,Coding,screenshot of a modal window with toggle switches for privacy settings,Act as a frontend developer. Convert this settings modal screenshot into production-ready {tech_stack}.
94,Travel/Landmarks,photo of the Great Wall winding through mountains,Translate the signage visible in this photo of Great Wall of China into Italian and explain the cultural context.
95,OCR/Extraction,photo of a concert ticket with QR code,Extract the text from this event ticket and return it as {output_format}.
96,Creative Writing,underwater photo of colorful coral,Describe this coral reef using only metaphors and similes.
97,Travel/Landmarks,photo of Mount Fuji with snow cap,Translate the signage visible in this photo of Mount Fuji into Portuguese and explain the cultural context.
98,Data Analysis,image of a project timeline gantt chart,Convert the data shown in this gantt chart into a CSV format.
99,Fashion/Style,photo of aviator sunglasses on a table,Act as a stylist. Look at this sunglasses. What accessories would you pair with this for a formal event?
100,Home/DIY,photo of a disorganized bookshelf filled with old books,Identify the style of this messy bookshelf. Suggest a color palette for a room that features this piece.
101,Fashion/Style,photo of a black leather biker jacket,Act as a stylist. Look at this leather jacket. What accessories would you pair with this for a formal event?
102,Culinary/Food,photo of a grilled salmon fillet with asparagus,Write a mouth-watering instagram caption for this photo of grilled salmon.
103,OCR/Extraction,photo of a concert ticket with QR code,Extract the text from this event ticket and return it as {output_format}.
104,Home/DIY,photo of a large monstera plant in a ceramic pot,Look at this houseplant. What tools would I likely need to fix or restore it?
105,Travel/Landmarks,photo of the Colosseum in Rome,Translate the signage visible in this photo of Colosseum into French and explain the cultural context.
106,Data Analysis,image of a color-coded correlation matrix heatmap,Analyze this heatmap. Summarize the key trend for a business executive.
107,Data Analysis,image of a project timeline gantt chart,Analyze this gantt chart. Summarize the key trend for a business executive.
108,Fashion/Style,close-up photo of a luxury mechanical wristwatch,Is this wristwatch appropriate for a business casual office environment?
109,Education,image of an old map of Europe from the 18th century,Create a quiz question based on the information in this historical map.
110,Culinary/Food,photo of a classic pizza margherita with basil,I have these ingredients shown in the pizza margherita image. What spice should I add to elevate the flavor?
111,Travel/Landmarks,photo of Big Ben and Parliament in London,Identify this landmark: Big Ben. Provide a 3-day itinerary for a trip here.
112,OCR/Extraction,photo of a sticky note with a to-do list in cursive ink,Extract the text from this handwritten note and return it as {output_format}.
113,Travel/Landmarks,photo of the Eiffel Tower in Paris against a blue sky,What is the best time of year to visit Eiffel Tower to take a photo like this?
114,Coding,screenshot of a weather widget showing temperature and forecast,Identify the UI components in this weather widget and list them as a JSON array for a design system.
115,Fashion/Style,photo of a rugged hiking backpack,Act as a stylist. Look at this backpack. What accessories would you pair with this for a formal event?
116,Travel/Landmarks,photo of the Colosseum in Rome,What is the best time of year to visit Colosseum to take a photo like this?
117,Nature/Biology,photo of a large oak tree in a park,Identify this oak tree. Is it poisonous or dangerous? Provide a scientific classification.
118,Home/DIY,photo of a white shaker-style kitchen cabinet,Identify the style of this kitchen cabinet. Suggest a color palette for a room that features this piece.
119,Data Analysis,image of a forex trading chart with indicators,Analyze this candlestick chart. Summarize the key trend for a business executive.
120,Data Analysis,image of a histogram showing frequency distribution,Analyze this histogram. Summarize the key trend for a business executive.
121,Education,map showing earth's tectonic plates,Create a quiz question based on the information in this tectonic plates.
122,Culinary/Food,photo of a bowl of chicken curry with rice,I have these ingredients shown in the curry image. What spice should I add to elevate the flavor?
123,Culinary/Food,photo of a slice of rich chocolate cake on a white plate,I have these ingredients shown in the chocolate cake image. What spice should I add to elevate the flavor?
124,Home/DIY,photo of a cracked window pane,How would you clean this broken window without damaging the material?
125,OCR/Extraction,photo of a sticky note with a to-do list in cursive ink,Extract the text from this handwritten note and return it as {output_format}.
126,Home/DIY,photo of a brass tiffany-style lamp,How would you clean this antique lamp without damaging the material?
127,Education,schematic diagram of a simple electrical circuit,Create a quiz question based on the information in this circuit diagram.
128,OCR/Extraction,image of a professional resume/CV,Find the date and total amount in this resume. Return only these two values.
129,Creative Writing,photo of a conch shell on the beach,Describe this seashell using only metaphors and similes.
130,Travel/Landmarks,photo of the Taj Mahal reflecting in the pool,Identify this landmark: Taj Mahal. Provide a 3-day itinerary for a trip here.
131,Travel/Landmarks,photo of Machu Picchu ruins in the Andes,What is the best time of year to visit Machu Picchu to take a photo like this?
132,Nature/Biology,close-up macro photo of a red mushroom in the forest,Identify this wild mushroom. Is it poisonous or dangerous? Provide a scientific classification.
133,Home/DIY,photo of a modern ceiling fan,How would you clean this ceiling fan without damaging the material?
134,Education,image of an old map of Europe from the 18th century,Act as a tutor. Explain the concept shown in this historical map to a 5-year-old.
135,Data Analysis,image of a pie chart showing market share,Convert the data shown in this pie chart into a CSV format.
136,Culinary/Food,close-up photo of a cheesy lasagna fresh out of the oven,Write a mouth-watering instagram caption for this photo of homemade lasagna.
137,Education,labeled diagram of an animal cell,Solve the problem shown in this cell structure. Show your work step-by-step.
138,Home/DIY,photo of a white shaker-style kitchen cabinet,Identify the style of this kitchen cabinet. Suggest a color palette for a room that features this piece.
139,Travel/Landmarks,photo of Machu Picchu ruins in the Andes,Identify this landmark: Machu Picchu. Provide a 3-day itinerary for a trip here.
140,Creative Writing,photo of a traditional Japanese wooden shrine with cherry blossoms,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Kyoto Shrine.
141,Home/DIY,photo of a digital smart thermostat on a wall,Look at this smart thermostat. What tools would I likely need to fix or restore it?
142,OCR/Extraction,image of a professional resume/CV,Find the date and total amount in this resume. Return only these two values.
143,Culinary/Food,photo of a fresh fruit salad with melon and berries,I have these ingredients shown in the fruit salad image. What spice should I add to elevate the flavor?
144,OCR/Extraction,photo of a crumpled thermal receipt from a supermarket,Find the date and total amount in this grocery receipt. Return only these two values.
145,Education,map showing earth's tectonic plates,Create a quiz question based on the information in this tectonic plates.
146,Fashion/Style,photo of red stiletto heels,Act as a stylist. Look at this high heels. What accessories would you pair with this for a formal event?
147,Fashion/Style,close-up photo of a luxury mechanical wristwatch,Identify the style and era of this wristwatch. Where could I buy something similar today?
148,Coding,screenshot of a scientific calculator interface,Identify the UI components in this calculator app and list them as a JSON array for a design system.
149,Culinary/Food,photo of a grilled salmon fillet with asparagus,Identify the dish in this image of grilled salmon. Estimate the calories and suggest a {dietary_restriction} alternative.
150,Home/DIY,photo of a white shaker-style kitchen cabinet,Identify the style of this kitchen cabinet. Suggest a color palette for a room that features this piece.
151,Culinary/Food,photo of a grilled salmon fillet with asparagus,Write a mouth-watering instagram caption for this photo of grilled salmon.
152,Home/DIY,photo of a disorganized bookshelf filled with old books,Look at this messy bookshelf. What tools would I likely need to fix or restore it?
153,Creative Writing,macro photo of a colorful beetle on a leaf,Describe this strange insect using only metaphors and similes.
154,Creative Writing,wide-angle photo of the Grand Canyon at sunset,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Grand Canyon.
155,Fashion/Style,photo of a black leather biker jacket,Is this leather jacket appropriate for a business casual office environment?
156,Home/DIY,photo of a disorganized bookshelf filled with old books,Identify the style of this messy bookshelf. Suggest a color palette for a room that features this piece.
157,OCR/Extraction,photo of a sticky note with a to-do list in cursive ink,Extract the text from this handwritten note and return it as {output_format}.
158,Travel/Landmarks,photo of Mount Fuji with snow cap,What is the best time of year to visit Mount Fuji to take a photo like this?
159,Home/DIY,photo of a white shaker-style kitchen cabinet,How would you clean this kitchen cabinet without damaging the material?
160,Fashion/Style,photo of aviator sunglasses on a table,Identify the style and era of this sunglasses. Where could I buy something similar today?
161,Travel/Landmarks,photo of the Sydney Opera House at night,Identify this landmark: Sydney Opera House. Provide a 3-day itinerary for a trip here.
162,Education,image of a color wheel for art theory,Create a quiz question based on the information in this color wheel.
163,Education,photo of a textbook page showing a triangle with missing angles,Create a quiz question based on the information in this geometry problem.
164,Fashion/Style,photo of a black leather biker jacket,Is this leather jacket appropriate for a business casual office environment?
165,Nature/Biology,photo of a blooming yellow rose in a garden,Describe the habitat where you would typically find this garden flower.
166,Creative Writing,photo of white houses with blue domes in Santorini,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Santorini.
167,OCR/Extraction,scan of a hospital bill with line items and insurance codes,Extract the text from this medical invoice and return it as {output_format}.
168,Culinary/Food,photo of a bowl of chicken curry with rice,I have these ingredients shown in the curry image. What spice should I add to elevate the flavor?
169,Travel/Landmarks,photo of Big Ben and Parliament in London,Identify this landmark: Big Ben. Provide a 3-day itinerary for a trip here.
170,Education,image of an old map of Europe from the 18th century,Solve the problem shown in this historical map. Show your work step-by-step.
171,Fashion/Style,photo of bright neon running shoes,Identify the style and era of this running shoes. Where could I buy something similar today?
172,Education,"illustrated diagram showing evaporation, condensation, and precipitation",Solve the problem shown in this water cycle diagram. Show your work step-by-step.
173,OCR/Extraction,photo of a concert ticket with QR code,Extract the text from this event ticket and return it as {output_format}.
174,Coding,screenshot of a weather widget showing temperature and forecast,Identify the UI components in this weather widget and list them as a JSON array for a design system.
175,Data Analysis,image of a histogram showing frequency distribution,Convert the data shown in this histogram into a CSV format.
176,Fashion/Style,photo of bright neon running shoes,Act as a stylist. Look at this running shoes. What accessories would you pair with this for a formal event?
177,Home/DIY,photo of a large monstera plant in a ceramic pot,Identify the style of this houseplant. Suggest a color palette for a room that features this piece.
178,OCR/Extraction,image of a professional resume/CV,Extract the text from this resume and return it as {output_format}.
179,Home/DIY,photo of a cracked window pane,Look at this broken window. What tools would I likely need to fix or restore it?
180,Data Analysis,image of a sales funnel conversion chart,Analyze this funnel chart. Summarize the key trend for a business executive.
181,Creative Writing,photo of Machu Picchu ruins in the Andes,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Machu Picchu.
182,Fashion/Style,side-profile photo of limited edition colorful sneakers,Act as a stylist. Look at this sneakers. What accessories would you pair with this for a formal event?
183,OCR/Extraction,photo of a crumpled thermal receipt from a supermarket,Find the date and total amount in this grocery receipt. Return only these two values.
184,OCR/Extraction,close-up of a FedEx shipping label with barcode,Extract the text from this shipping label and return it as {output_format}.
185,Travel/Landmarks,photo of Mount Fuji with snow cap,Translate the signage visible in this photo of Mount Fuji into Italian and explain the cultural context.
186,Culinary/Food,photo of a vibrant sushi plate with wasabi and ginger,Write a mouth-watering instagram caption for this photo of sushi platter.
187,OCR/Extraction,image of a professional resume/CV,Find the date and total amount in this resume. Return only these two values.
188,Nature/Biology,photo of a mountain goat on a cliff,Describe the habitat where you would typically find this mountain goat.
189,Home/DIY,photo of a rusty garden trowel,Look at this garden tool. What tools would I likely need to fix or restore it?
190,Travel/Landmarks,photo of the Statue of Liberty in New York Harbor,What is the best time of year to visit Statue of Liberty to take a photo like this?
191,Education,image of an old map of Europe from the 18th century,Solve the problem shown in this historical map. Show your work step-by-step.
192,Culinary/Food,photo of a fresh fruit salad with melon and berries,Identify the dish in this image of fruit salad. Estimate the calories and suggest a {dietary_restriction} alternative.
193,Data Analysis,image of a spider/radar chart comparing skill sets,Convert the data shown in this radar chart into a CSV format.
194,Education,image of the periodic table of elements,Solve the problem shown in this periodic table. Show your work step-by-step.
195,Fashion/Style,photo of a mannequin wearing a floral summer dress,Identify the style and era of this summer floral dress. Where could I buy something similar today?
196,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,I have these ingredients shown in the vegetable stir-fry image. What spice should I add to elevate the flavor?
197,Travel/Landmarks,photo of Mount Fuji with snow cap,What is the best time of year to visit Mount Fuji to take a photo like this?
198,Fashion/Style,photo of a mannequin wearing a floral summer dress,Act as a stylist. Look at this summer floral dress. What accessories would you pair with this for a formal event?
199,Data Analysis,image of a color-coded correlation matrix heatmap,Analyze this heatmap. Summarize the key trend for a business executive.
200,Coding,screenshot of a drag-and-drop kanban board with tasks,Act as a frontend developer. Convert this kanban board screenshot into production-ready {tech_stack}.
201,Coding,screenshot of a dark-mode analytics widget showing user retention stats,Act as a frontend developer. Convert this dashboard widget screenshot into production-ready {tech_stack}.
202,Coding,screenshot of a responsive top navigation bar with dropdown menus,Act as a frontend developer. Convert this navbar screenshot into production-ready {tech_stack}.
203,Culinary/Food,photo of a steaming bowl of ramen with egg and pork,I have these ingredients shown in the ramen bowl image. What spice should I add to elevate the flavor?
204,Coding,screenshot of a responsive top navigation bar with dropdown menus,Identify the UI components in this navbar and list them as a JSON array for a design system.
205,Education,diagram of the human skeletal system,Act as a tutor. Explain the concept shown in this human skeleton to a chef.
206,Education,image of a color wheel for art theory,Solve the problem shown in this color wheel. Show your work step-by-step.
207,Data Analysis,image of a vertical bar chart comparing quarterly revenue,Analyze this bar chart. Summarize the key trend for a business executive.
208,Education,diagram of the planets orbiting the sun,Act as a tutor. Explain the concept shown in this solar system model to a developer.
209,Creative Writing,photo of a monarch butterfly on a flower,Describe this butterfly using only metaphors and similes.
210,Education,photo of a textbook page showing a triangle with missing angles,Act as a tutor. Explain the concept shown in this geometry problem to a tourist.
211,Nature/Biology,underwater photo of colorful coral,Identify this coral reef. Is it poisonous or dangerous? Provide a scientific classification.
212,Fashion/Style,photo of a charcoal grey men's suit,Is this formal suit appropriate for a business casual office environment?
213,OCR/Extraction,photo of an electricity bill with usage graphs,Extract the text from this utility bill and return it as {output_format}.
214,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,Write a mouth-watering instagram caption for this photo of vegetable stir-fry.
215,Travel/Landmarks,photo of the Pyramids of Giza in the desert,Translate the signage visible in this photo of Pyramids of Giza into Italian and explain the cultural context.
216,Education,image of an old map of Europe from the 18th century,Solve the problem shown in this historical map. Show your work step-by-step.
217,Travel/Landmarks,photo of Mount Fuji with snow cap,Translate the signage visible in this photo of Mount Fuji into French and explain the cultural context.
218,Travel/Landmarks,photo of Mount Fuji with snow cap,Translate the signage visible in this photo of Mount Fuji into Portuguese and explain the cultural context.
219,Culinary/Food,photo of a vibrant sushi plate with wasabi and ginger,Identify the dish in this image of sushi platter. Estimate the calories and suggest a {dietary_restriction} alternative.
220,Nature/Biology,photo of a spider web with dew drops,Identify this spider web. Is it poisonous or dangerous? Provide a scientific classification.
221,Data Analysis,image of a vertical bar chart comparing quarterly revenue,Convert the data shown in this bar chart into a CSV format.
222,Travel/Landmarks,photo of a traditional Japanese wooden shrine with cherry blossoms,Translate the signage visible in this photo of Kyoto Shrine into Spanish and explain the cultural context.
223,Culinary/Food,photo of a fancy cocktail with a garnish on a bar counter,Write a mouth-watering instagram caption for this photo of cocktail.
224,OCR/Extraction,photo of an electricity bill with usage graphs,Find the date and total amount in this utility bill. Return only these two values.
225,Education,"illustrated diagram showing evaporation, condensation, and precipitation",Create a quiz question based on the information in this water cycle diagram.
226,Creative Writing,wide-angle photo of the Grand Canyon at sunset,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Grand Canyon.
227,Education,visual chart showing fraction equivalents,Act as a tutor. Explain the concept shown in this fraction chart to a developer.
228,Travel/Landmarks,photo of the Treasury at Petra carved into rock,What is the best time of year to visit Petra to take a photo like this?
229,Fashion/Style,photo of a rugged hiking backpack,Is this backpack appropriate for a business casual office environment?
230,Home/DIY,photo of a kitchen faucet dripping water,Look at this leaky faucet. What tools would I likely need to fix or restore it?
231,Education,diagram of the human skeletal system,Create a quiz question based on the information in this human skeleton.
232,Creative Writing,wide-angle photo of the Grand Canyon at sunset,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Grand Canyon.
233,Education,diagram explaining the process of photosynthesis,Act as a tutor. Explain the concept shown in this photosynthesis to a developer.
234,Education,photo of a textbook page showing a triangle with missing angles,Act as a tutor. Explain the concept shown in this geometry problem to a chef.
235,Creative Writing,photo of a saguaro cactus in the desert,Describe this cactus using only metaphors and similes.
236,Data Analysis,image of a histogram showing frequency distribution,Analyze this histogram. Summarize the key trend for a business executive.
237,Home/DIY,photo of a brass tiffany-style lamp,Look at this antique lamp. What tools would I likely need to fix or restore it?
238,OCR/Extraction,image of a professional resume/CV,Find the date and total amount in this resume. Return only these two values.
239,Creative Writing,photo of a conch shell on the beach,Describe this seashell using only metaphors and similes.
240,Fashion/Style,photo of a rugged hiking backpack,Identify the style and era of this backpack. Where could I buy something similar today?
241,Education,labeled diagram of an animal cell,Act as a tutor. Explain the concept shown in this cell structure to a developer.
242,Data Analysis,image of a color-coded correlation matrix heatmap,Analyze this heatmap. Summarize the key trend for a business executive.
243,Coding,screenshot of a modal window with toggle switches for privacy settings,Act as a frontend developer. Convert this settings modal screenshot into production-ready {tech_stack}.
244,Home/DIY,photo of a large monstera plant in a ceramic pot,Look at this houseplant. What tools would I likely need to fix or restore it?
245,OCR/Extraction,photo of an electricity bill with usage graphs,Extract the text from this utility bill and return it as {output_format}.
246,Travel/Landmarks,photo of the Taj Mahal reflecting in the pool,Translate the signage visible in this photo of Taj Mahal into French and explain the cultural context.
247,Fashion/Style,close-up photo of a luxury mechanical wristwatch,Act as a stylist. Look at this wristwatch. What accessories would you pair with this for a formal event?
248,Creative Writing,photo of a mountain goat on a cliff,Describe this mountain goat using only metaphors and similes.
249,Travel/Landmarks,photo of a traditional Japanese wooden shrine with cherry blossoms,Translate the signage visible in this photo of Kyoto Shrine into Spanish and explain the cultural context.
250,Nature/Biology,underwater photo of colorful coral,Identify this coral reef. Is it poisonous or dangerous? Provide a scientific classification.
251,Home/DIY,photo of hardwood flooring with a scratch,Look at this wooden floor. What tools would I likely need to fix or restore it?
252,Travel/Landmarks,photo of white houses with blue domes in Santorini,Translate the signage visible in this photo of Santorini into French and explain the cultural context.
253,OCR/Extraction,close-up of a FedEx shipping label with barcode,Extract the text from this shipping label and return it as {output_format}.
254,Creative Writing,photo of the Pyramids of Giza in the desert,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Pyramids of Giza.
255,Data Analysis,image of a project timeline gantt chart,Analyze this gantt chart. Summarize the key trend for a business executive.
256,Fashion/Style,photo of black leggings/yoga pants,Identify the style and era of this yoga pants. Where could I buy something similar today?
257,Fashion/Style,photo of a beige wool trench coat,Act as a stylist. Look at this winter coat. What accessories would you pair with this for a formal event?
258,OCR/Extraction,photo of a concert ticket with QR code,Extract the text from this event ticket and return it as {output_format}.
259,Home/DIY,photo of various blue paint swatches on a wall,Look at this wall paint swatches. What tools would I likely need to fix or restore it?
